Reward from homework,Course relevance,Interdisciplinary learning,Cooperation and Discussion,Homework numbers,Scale,Average time spent,Homework deadlines,Step by step,Feeling,Difficulty of implementation,Difficulty in understanding,Student qualifications,Student concentration,Student responsibility,Research relevance,answer,reward,time_cost,feel,ability
10,highly correlated,often,common,3-4,small,<1 hr,three days,fifty-fifty,worried,simple,super hard,between middle/high,middle,middle,between middle/high,1,12,-7,-4,2
9,moderately correlated,often,always,1-2,small,<1 hr,two weeks,roughly,interested,very easy,super hard,between middle/high,between middle/high,low,between middle/high,1,14,-6,-1,1
10,moderately correlated,often,common,3-4,small to medium,<1 hr,three days,fully qualified,bored,simple,very easy,middle,between middle/high,low,between low/middle,1,10,-6,-1,-2
9,moderately correlated,often,often,1-2,small to medium,<1 hr,three days,fifty-fifty,confused,very easy,difficult,high,middle,between middle/high,high,1,12,-7,-1,5
10,highly correlated,a little,common,1-2,small,<1 hr,one weeks,fully qualified,worried,difficult,simple,between low/middle,low,middle,between low/middle,1,8,-7,1,-4
9,moderately correlated,often,common,1-2,small,<1 hr,one weeks,fifty-fifty,motivated,simple,very easy,middle,between middle/high,between low/middle,between middle/high,1,10,-7,0,1
9,moderately correlated,often,seldom,3-4,small to medium,<1 hr,three days,roughly,motivated,super hard,very easy,middle,high,low,low,1,8,-6,-1,-2
9,moderately correlated,fifty-fifty,common,1-2,small to medium,<1 hr,three days,no,inspired,simple,very easy,between middle/high,middle,middle,between low/middle,1,8,-7,-1,0
5,highly correlated,often,always,1-2,small to medium,1-3 hr,three days,roughly,worried,moderate,super hard,between low/middle,between middle/high,low,middle,1,12,-6,-1,-2
4,highly correlated,often,always,1-2,small,<1 hr,one weeks,fully qualified,worried,difficult,very easy,middle,high,low,high,1,10,-7,0,2
10,highly correlated,fifty-fifty,often,1-2,small,<1 hr,three days,fully qualified,bored,moderate,very easy,between low/middle,middle,between middle/high,low,1,12,-8,1,-2
8,highly correlated,uncertain,always,1-2,small to medium,<1 hr,one weeks,roughly,motivated,super hard,difficult,between low/middle,high,low,between low/middle,1,8,-6,1,-2
5,moderately correlated,often,always,3-4,small,<1 hr,one weeks,roughly,worried,moderate,moderate,between middle/high,between low/middle,high,between low/middle,1,10,-6,3,1
6,highly correlated,a little,always,1-2,small,<1 hr,three days,roughly,confused,moderate,difficult,low,low,high,between middle/high,1,8,-8,3,-1
7,highly correlated,uncertain,always,1-2,small,<1 hr,two weeks,fifty-fifty,rewarding,difficult,moderate,middle,between low/middle,middle,between middle/high,1,8,-6,5,0
9,moderately correlated,uncertain,always,1-2,small,1-3 hr,three days,roughly,motivated,moderate,moderate,low,low,between middle/high,high,1,8,-7,6,-1
10,moderately correlated,often,always,1-2,small,<1 hr,three days,roughly,bored,very easy,simple,middle,between low/middle,between low/middle,low,1,14,-8,-2,-4
9,moderately correlated,a little,always,3-4,small,<1 hr,one weeks,fifty-fifty,bored,very easy,very easy,between middle/high,high,between middle/high,between low/middle,1,10,-6,-4,3
7,moderately correlated,often,common,1-2,small,1-3 hr,three days,uncertain,confused,simple,moderate,low,high,between low/middle,between middle/high,1,8,-7,0,0
9,highly correlated,fifty-fifty,often,1-2,small to medium,<1 hr,one weeks,roughly,confused,super hard,super hard,middle,between middle/high,middle,low,1,12,-6,-4,-1
10,no correlation,often,always,1-2,small,1-3 hr,one weeks,no,rewarding,difficult,super hard,low,between low/middle,between low/middle,between middle/high,1,8,-6,-1,-3
10,modestly correlated,often,always,1-2,small to medium,1-3 hr,three days,no,rewarding,very easy,simple,between middle/high,middle,middle,between low/middle,1,10,-6,-1,0
10,modestly correlated,often,often,1-2,medium,<1 hr,three days,no,inspired,moderate,super hard,middle,low,between low/middle,between middle/high,1,8,-6,0,-2
6,highly correlated,often,common,1-2,medium,<1 hr,three days,fully qualified,bored,moderate,moderate,between middle/high,low,high,between middle/high,1,8,-6,4,2
10,highly correlated,often,without cooperation,3-4,small,1-3 hr,three days,fifty-fifty,worried,difficult,simple,middle,middle,middle,between low/middle,1,8,-6,-1,-1
9,highly correlated,fifty-fifty,common,3-4,small,1-3 hr,three days,fifty-fifty,impatient,moderate,moderate,between middle/high,between middle/high,high,between middle/high,1,10,-6,3,5
9,moderately correlated,fifty-fifty,often,3-4,small,<1 hr,three days,uncertain,inspired,moderate,simple,high,high,high,between low/middle,1,10,-7,3,5
9,highly correlated,a little,common,3-4,small to medium,<1 hr,three days,fully qualified,worried,very easy,simple,high,middle,middle,middle,1,8,-6,-1,2
5,highly correlated,often,always,1-2,small,3-5 hr,three days,fully qualified,inspired,difficult,very easy,between low/middle,between middle/high,middle,low,1,12,-6,4,-2
7,modestly correlated,often,always,1-2,small to medium,1-3 hr,three days,fully qualified,rewarding,simple,very easy,high,low,low,low,1,8,-6,3,-4
10,highly correlated,often,always,3-4,small,<1 hr,one weeks,no,interested,difficult,simple,high,middle,low,between middle/high,1,16,-6,0,1
8,moderately correlated,often,always,1-2,medium,<1 hr,three days,no,rewarding,simple,moderate,high,high,low,high,1,12,-6,2,4
8,highly correlated,often,common,1-2,small to medium,<1 hr,three days,roughly,motivated,simple,super hard,between low/middle,between middle/high,middle,low,1,10,-7,0,-2
8,moderately correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,uncertain,motivated,very easy,moderate,middle,high,high,high,1,10,-6,1,6
9,highly correlated,often,often,1-2,small,1-3 hr,one weeks,fully qualified,confused,super hard,moderate,between low/middle,high,between low/middle,middle,1,14,-6,1,0
9,moderately correlated,a little,always,3-4,small,1-3 hr,three days,roughly,worried,difficult,simple,low,middle,between middle/high,low,1,10,-6,0,-3
8,highly correlated,fifty-fifty,often,1-2,small,<1 hr,one weeks,fifty-fifty,interested,moderate,super hard,between middle/high,high,high,between low/middle,1,10,-7,1,4
5,moderately correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,no,motivated,super hard,super hard,high,high,between middle/high,between middle/high,1,8,-6,-5,6
8,moderately correlated,a little,always,1-2,small,<1 hr,two weeks,uncertain,inspired,very easy,difficult,between middle/high,middle,high,between low/middle,1,8,-6,1,2
8,highly correlated,fifty-fifty,always,1-2,small to medium,1-3 hr,three days,uncertain,inspired,simple,super hard,low,low,middle,between low/middle,1,12,-6,-1,-5
9,highly correlated,fifty-fifty,common,1-2,small,<1 hr,two weeks,uncertain,rewarding,very easy,moderate,high,middle,high,high,1,10,-6,2,6
9,highly correlated,a little,often,1-2,small,<1 hr,three days,fully qualified,inspired,simple,difficult,high,between low/middle,low,low,1,10,-8,5,-3
5,moderately correlated,often,often,1-2,small,1-3 hr,one weeks,uncertain,confused,moderate,simple,low,middle,between low/middle,between middle/high,1,8,-6,0,-2
9,highly correlated,often,without cooperation,1-2,small,<1 hr,three days,fifty-fifty,impatient,difficult,very easy,between middle/high,between low/middle,between low/middle,between middle/high,1,8,-8,-1,0
9,highly correlated,no,always,1-2,small,3-5 hr,three days,uncertain,interested,moderate,very easy,between low/middle,high,between middle/high,low,1,8,-6,1,0
9,moderately correlated,fifty-fifty,always,3-4,small,<1 hr,three days,no,interested,very easy,simple,middle,between middle/high,middle,low,1,12,-7,-2,-1
8,highly correlated,often,often,1-2,small,<1 hr,two weeks,fifty-fifty,inspired,very easy,simple,between low/middle,high,high,high,1,12,-6,1,5
10,highly correlated,a little,always,1-2,medium,<1 hr,three days,roughly,rewarding,super hard,simple,between low/middle,between low/middle,low,middle,1,12,-6,1,-4
6,highly correlated,fifty-fifty,often,3-4,small,<1 hr,three days,fully qualified,confused,very easy,difficult,between low/middle,middle,middle,low,1,8,-7,1,-3
9,moderately correlated,often,common,1-2,small,3-5 hr,three days,fully qualified,confused,super hard,super hard,low,between middle/high,between middle/high,middle,1,10,-6,-3,0
10,moderately correlated,often,seldom,1-2,small,1-3 hr,one weeks,uncertain,confused,super hard,super hard,middle,middle,middle,low,1,8,-6,-6,-2
9,highly correlated,a little,always,3-4,small,<1 hr,one weeks,fully qualified,bored,super hard,very easy,low,high,high,high,1,12,-6,-3,4
7,highly correlated,often,always,1-2,small,1-3 hr,three days,uncertain,bored,super hard,simple,between middle/high,high,between middle/high,low,1,14,-7,-5,2
10,highly correlated,fifty-fifty,seldom,1-2,small to medium,<1 hr,three days,roughly,bored,moderate,super hard,between middle/high,middle,middle,middle,1,8,-7,-1,1
1,highly correlated,often,always,1-2,small,3-5 hr,three days,uncertain,interested,very easy,super hard,between low/middle,middle,between middle/high,middle,1,8,-6,-3,0
7,highly correlated,uncertain,always,1-2,small to medium,<1 hr,one weeks,fifty-fifty,impatient,super hard,super hard,middle,between middle/high,between middle/high,between low/middle,1,8,-6,-5,1
6,highly correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,fifty-fifty,interested,difficult,difficult,high,low,low,middle,1,10,-6,3,-2
9,moderately correlated,often,common,1-2,small,3-5 hr,three days,no,interested,super hard,difficult,between middle/high,between middle/high,middle,between low/middle,1,10,-6,-2,1
10,modestly correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,no,motivated,simple,super hard,middle,between low/middle,between middle/high,between middle/high,1,8,-6,-3,1
10,moderately correlated,often,always,3-4,small to medium,<1 hr,three days,uncertain,interested,moderate,very easy,between low/middle,between low/middle,between middle/high,between low/middle,1,14,-6,1,-2
6,highly correlated,fifty-fifty,often,3-4,small,<1 hr,three days,no,interested,simple,super hard,low,between middle/high,low,high,1,8,-7,-3,-1
9,highly correlated,often,without cooperation,1-2,small,<1 hr,two weeks,fifty-fifty,impatient,super hard,simple,high,between low/middle,between middle/high,between low/middle,1,8,-6,-3,1
9,moderately correlated,often,always,1-2,small to medium,<1 hr,three days,no,bored,difficult,very easy,between middle/high,low,high,middle,1,14,-7,-4,1
8,moderately correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,roughly,rewarding,super hard,very easy,high,between low/middle,high,between low/middle,1,10,-6,0,2
9,highly correlated,fifty-fifty,seldom,3-4,small to medium,<1 hr,three days,no,inspired,difficult,moderate,between middle/high,low,high,low,1,8,-6,3,-1
9,no correlation,often,always,1-2,small,<1 hr,one weeks,no,rewarding,simple,difficult,between middle/high,middle,high,low,1,8,-7,1,1
9,highly correlated,uncertain,often,3-4,small,<1 hr,three days,uncertain,worried,moderate,super hard,between middle/high,low,low,low,1,8,-7,-3,-5
5,highly correlated,a little,always,3-4,small,<1 hr,one weeks,uncertain,bored,difficult,very easy,high,high,middle,between middle/high,1,8,-6,-3,5
3,highly correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,fully qualified,impatient,simple,simple,between middle/high,low,high,high,1,8,-6,1,3
8,highly correlated,a little,always,1-2,small,<1 hr,three days,fifty-fifty,motivated,super hard,very easy,low,middle,low,low,1,10,-8,-2,-6
7,highly correlated,uncertain,always,1-2,small to medium,<1 hr,one weeks,uncertain,impatient,super hard,difficult,between low/middle,low,between middle/high,between low/middle,1,8,-6,-3,-3
3,highly correlated,often,often,1-2,small to medium,<1 hr,one weeks,fully qualified,confused,difficult,super hard,between middle/high,between middle/high,between middle/high,middle,1,8,-6,0,3
9,moderately correlated,fifty-fifty,common,1-2,small,1-3 hr,one weeks,fifty-fifty,rewarding,difficult,moderate,high,high,between low/middle,high,1,8,-6,5,5
9,moderately correlated,fifty-fifty,common,1-2,small to medium,<1 hr,one weeks,fifty-fifty,inspired,moderate,moderate,between low/middle,middle,high,middle,1,8,-6,6,1
10,modestly correlated,often,often,3-4,small,<1 hr,one weeks,fully qualified,impatient,moderate,simple,low,middle,middle,between low/middle,1,8,-6,3,-3
5,highly correlated,often,always,3-4,small,1-3 hr,three days,fifty-fifty,impatient,very easy,difficult,middle,low,high,low,1,12,-6,-1,-2
3,moderately correlated,often,always,3-4,small,<1 hr,one weeks,roughly,rewarding,moderate,very easy,middle,high,middle,low,1,8,-6,4,0
8,moderately correlated,often,often,1-2,small,<1 hr,three days,fifty-fifty,confused,difficult,super hard,between middle/high,high,low,between middle/high,1,10,-8,-2,2
7,modestly correlated,often,always,1-2,small to medium,<1 hr,three days,uncertain,worried,super hard,very easy,middle,between middle/high,low,low,1,8,-7,-6,-3
6,moderately correlated,often,often,1-2,small to medium,<1 hr,one weeks,fully qualified,rewarding,difficult,super hard,between low/middle,between low/middle,between middle/high,high,1,8,-6,3,1
9,moderately correlated,often,often,1-2,medium,<1 hr,three days,roughly,motivated,super hard,very easy,low,high,between middle/high,middle,1,12,-6,-1,1
9,moderately correlated,a little,often,3-4,small,<1 hr,one weeks,uncertain,worried,super hard,difficult,low,high,between middle/high,between low/middle,1,8,-6,-4,0
5,highly correlated,fifty-fifty,often,1-2,medium,<1 hr,three days,roughly,motivated,simple,super hard,high,between middle/high,middle,low,1,8,-6,0,1
9,highly correlated,a little,common,1-2,medium,<1 hr,three days,no,impatient,moderate,moderate,middle,between middle/high,middle,between low/middle,1,8,-6,1,0
9,modestly correlated,often,often,1-2,small to medium,1-3 hr,three days,uncertain,bored,very easy,simple,low,low,low,between middle/high,1,8,-6,-4,-5
10,moderately correlated,fifty-fifty,always,1-2,small,<1 hr,one weeks,uncertain,rewarding,difficult,difficult,middle,high,between low/middle,low,1,12,-7,3,-1
10,moderately correlated,often,always,1-2,small,<1 hr,three days,uncertain,impatient,very easy,moderate,middle,low,low,between low/middle,1,14,-8,-1,-5
10,highly correlated,often,always,1-2,small,3-5 hr,three days,fifty-fifty,interested,moderate,super hard,middle,between middle/high,low,middle,1,16,-6,1,-1
7,moderately correlated,fifty-fifty,often,1-2,small,<1 hr,three days,fifty-fifty,inspired,difficult,simple,middle,middle,low,low,1,8,-8,3,-4
6,highly correlated,fifty-fifty,always,1-2,small,<1 hr,two weeks,fifty-fifty,impatient,very easy,moderate,between low/middle,low,low,between middle/high,1,10,-6,0,-4
9,highly correlated,fifty-fifty,seldom,3-4,small,<1 hr,one weeks,no,motivated,super hard,super hard,between middle/high,middle,between low/middle,high,1,8,-6,-5,2
9,moderately correlated,uncertain,always,1-2,medium,<1 hr,three days,fully qualified,impatient,very easy,moderate,low,between low/middle,between low/middle,between low/middle,1,8,-6,2,-5
6,moderately correlated,often,often,1-2,small to medium,1-3 hr,three days,uncertain,bored,super hard,simple,between middle/high,between middle/high,low,middle,1,8,-6,-5,0
5,highly correlated,often,always,1-2,small to medium,1-3 hr,three days,roughly,motivated,simple,difficult,middle,middle,between middle/high,between low/middle,1,12,-6,3,0
8,moderately correlated,often,often,1-2,small,3-5 hr,three days,roughly,worried,difficult,very easy,low,between middle/high,middle,between low/middle,1,10,-6,-1,-2
7,highly correlated,fifty-fifty,often,3-4,small to medium,<1 hr,three days,fully qualified,worried,moderate,simple,low,middle,between low/middle,low,1,10,-6,2,-5
2,highly correlated,often,always,1-2,small,1-3 hr,one weeks,fully qualified,bored,difficult,super hard,low,low,high,middle,1,8,-6,-1,-2
7,highly correlated,a little,often,3-4,small,1-3 hr,three days,fully qualified,rewarding,moderate,simple,low,low,high,between middle/high,1,8,-6,6,-1
9,moderately correlated,often,common,1-2,small,1-3 hr,one weeks,roughly,bored,moderate,moderate,low,low,high,low,1,10,-6,3,-4
9,highly correlated,a little,always,1-2,small to medium,1-3 hr,three days,no,confused,moderate,moderate,between middle/high,high,between middle/high,middle,1,12,-6,1,4
10,highly correlated,a little,common,1-2,medium,<1 hr,three days,fully qualified,rewarding,moderate,moderate,between middle/high,between middle/high,high,between low/middle,1,8,-6,8,3
4,highly correlated,fifty-fifty,always,1-2,small,<1 hr,three days,fifty-fifty,rewarding,difficult,super hard,between middle/high,between low/middle,middle,middle,1,8,-8,1,0
8,highly correlated,often,often,1-2,medium,<1 hr,three days,uncertain,confused,super hard,difficult,between middle/high,low,between low/middle,between middle/high,1,12,-6,-3,-1
9,modestly correlated,fifty-fifty,always,1-2,small,1-3 hr,three days,roughly,impatient,super hard,moderate,between low/middle,between middle/high,between low/middle,middle,1,8,-7,0,-1
9,modestly correlated,fifty-fifty,always,1-2,small to medium,1-3 hr,three days,no,inspired,moderate,moderate,middle,between low/middle,between middle/high,middle,1,8,-6,4,0
8,highly correlated,often,always,1-2,small,<1 hr,one weeks,roughly,impatient,difficult,simple,middle,high,between low/middle,between middle/high,1,14,-7,1,2
9,modestly correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,no,rewarding,difficult,super hard,between middle/high,low,middle,low,1,8,-6,-1,-3
10,highly correlated,uncertain,often,1-2,small,<1 hr,one weeks,fifty-fifty,interested,difficult,moderate,between low/middle,between low/middle,middle,between middle/high,1,8,-7,4,-1
9,moderately correlated,often,seldom,1-2,small,1-3 hr,one weeks,roughly,bored,simple,simple,high,between low/middle,between low/middle,high,1,8,-6,-1,2
9,modestly correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,no,worried,simple,super hard,between low/middle,between low/middle,middle,high,1,8,-6,-6,0
8,highly correlated,fifty-fifty,often,1-2,small,<1 hr,three days,uncertain,interested,difficult,simple,between low/middle,low,low,middle,1,10,-8,1,-5
10,highly correlated,a little,always,1-2,small,1-3 hr,one weeks,fifty-fifty,worried,difficult,super hard,high,low,low,high,1,12,-6,-3,0
