antecedent,consequent,support,confidence,lift
{14},{18},0.527,0.736,1.043
{14},{34},0.475,0.662,1.034
{14},{30},0.421,0.588,1.043
{14},{19},0.399,0.557,1.033
{14},{6},0.388,0.541,1.025
{14},{1},0.382,0.533,1.025
{14},{16},0.380,0.530,1.032
{14},{48},0.356,0.497,1.037
{14},{32},0.299,0.418,1.012
{14},{26},0.305,0.426,1.033
{14},{4},0.289,0.403,1.016
{14},{49},0.289,0.403,1.037
{14},{44},0.283,0.395,1.058
{14},{46},0.279,0.389,1.045
{14},{12},0.279,0.389,1.065
{14},{28},0.257,0.358,1.046
{14},{42},0.234,0.326,1.028
{14},{39},0.234,0.327,1.034
{14},{21},0.233,0.324,1.058
{14},{15},0.221,0.308,1.009
{14},{0},0.213,0.297,1.043
{14},{11},0.199,0.278,0.986
{14},{29},0.201,0.281,1.002
{14},{2},0.202,0.282,1.033
{14},{20},0.205,0.286,1.058
{14},{38},0.204,0.285,1.059
{14},{3},0.175,0.244,1.024
{14},{37},0.175,0.244,1.047
{14},{5},0.172,0.239,1.055
{14},{35},0.169,0.235,1.061
{14},{24},0.157,0.220,1.034
{14},{43},0.155,0.216,1.041
{14},{41},0.153,0.213,1.031
{14},{47},0.153,0.214,1.039
{14},{33},0.125,0.175,1.034
{14},{31},0.124,0.173,1.044
{14},{13},0.110,0.153,1.032
{14},{10},0.101,0.142,1.005
{14},"{18,34}",0.360,0.503,1.078
{14},"{18,30}",0.310,0.432,1.089
{14},"{34,30}",0.282,0.394,1.070
{14},"{18,34,30}",0.216,0.301,1.117
{14},"{18,19}",0.306,0.426,1.067
{14},"{34,19}",0.275,0.384,1.067
{14},"{18,34,19}",0.215,0.300,1.096
{14},"{30,19}",0.241,0.336,1.061
{14},"{18,30,19}",0.186,0.260,1.097
{14},"{18,34,30,19}",0.133,0.186,1.123
{14},"{34,30,19}",0.168,0.234,1.089
{14},"{18,6}",0.290,0.404,1.059
{14},"{34,6}",0.265,0.370,1.050
